base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
74,20,5,5,4,6,0.7392,0.0038,0.6278,0.0037,0.4622,0.978,10,0.286,"RA:AG3,AG20,AG24,A2,A4|SI:BG2,BG4,BG7,B1,B3|CX:CG2,C3,C4,C5|TOP:TG8,TG13,TG20,T2,T5,T8"
18,29,8,7,3,11,0.7107,0.0024,0.6096,0.0028,0.4419,0.9821,14,0.35,"RA:AG3,AG8,AG14,AG24,AG25,AG26,A2,A4|SI:BG2,BG4,BG7,B1,B2,B3,B4|CX:C3,C4,C5|TOP:TG2,TG11,TG13,TG14,TG16,TG20,T1,T2,T4,T5,T8"
34,25,8,5,4,8,0.7222,0.0025,0.5851,0.0034,0.4176,0.9772,11,0.282,"RA:AG3,AG13,AG17,AG18,AG26,A2,A4,A5|SI:BG4,BG7,B1,B3,B4|CX:CG2,CG3,C1,C5|TOP:TG2,TG7,TG13,TG16,TG19,T1,T4,T8"
26,24,7,6,4,7,0.7279,0.0029,0.5768,0.0037,0.4095,0.9752,12,0.324,"RA:AG3,AG19,AG24,AG26,A2,A3,A4|SI:BG2,BG4,B1,B2,B3,B4|CX:CG2,CG3,C4,C5|TOP:TG2,TG8,TG13,TG19,T2,T5,T8"
24,25,6,5,4,10,0.6945,0.0018,0.5516,0.0028,0.3839,0.9796,11,0.282,"RA:AG3,AG20,AG24,AG26,A2,A4|SI:BG2,BG4,BG7,B1,B3|CX:CG2,C3,C4,C5|TOP:TG2,TG3,TG8,TG13,TG16,TG20,T2,T4,T5,T8"
35,23,8,6,2,7,0.6743,0.0013,0.5316,0.0027,0.3649,0.9791,12,0.333,"RA:AG3,AG14,AG19,AG22,AG24,A1,A2,A3|SI:BG2,BG4,B1,B2,B3,B4|CX:C4,C5|TOP:TG13,TG14,TG16,TG20,T2,T4,T5"
42,16,4,3,3,6,0.6922,0.0019,0.4759,0.0038,0.3156,0.9665,8,0.242,"RA:AG24,AG26,A2,A4|SI:BG2,BG4,B4|CX:CG3,C4,C5|TOP:TG8,TG13,TG19,T2,T5,T7"
73,17,3,3,4,7,0.4948,0.0001,0.4627,0.0025,0.3031,0.9774,10,0.312,"RA:AG15,A1,A2|SI:BG2,BG8,B3|CX:CG3,C3,C4,C5|TOP:TG6,TG13,TG14,T2,T4,T5,T8"
0,12,4,4,1,3,0.3433,0.0,0.4626,0.0012,0.302,0.9887,8,0.276,"RA:AG19,A1,A2,A4|SI:BG2,BG8,B1,B2|CX:C5|TOP:TG6,T4,T5"
1,12,4,3,1,4,0.3433,0.0,0.4626,0.0012,0.302,0.9887,7,0.233,"RA:AG19,A1,A2,A4|SI:BG2,BG8,B1|CX:C5|TOP:TG6,TG13,T4,T5"
39,20,7,5,3,5,0.692,0.0017,0.4527,0.0034,0.2954,0.9687,9,0.25,"RA:AG8,AG16,AG20,AG27,A2,A3,A4|SI:BG2,BG4,BG7,B3,B4|CX:CG2,C4,C5|TOP:TG2,TG13,TG16,T5,T8"
29,12,5,3,2,2,0.6691,0.0023,0.4486,0.0044,0.2928,0.9587,6,0.194,"RA:AG15,AG19,AG22,A1,A2|SI:BG2,BG4,B3|CX:C4,C5|TOP:TG13,T2"
10,27,5,6,4,12,0.6819,0.0014,0.4456,0.0028,0.289,0.9728,15,0.405,"RA:AG14,AG26,A1,A2,A4|SI:BG2,BG4,BG7,B1,B3,B4|CX:CG3,C1,C4,C5|TOP:TG2,TG7,TG11,TG13,TG14,TG16,T1,T2,T4,T5,T7,T8"
79,15,5,3,3,4,0.6596,0.0015,0.4441,0.0037,0.2884,0.9652,9,0.29,"RA:AG3,AG15,AG26,A2,A4|SI:BG2,BG4,B4|CX:C2,C4,C5|TOP:TG13,T2,T4,T8"
37,26,6,6,4,10,0.6804,0.0014,0.4381,0.0028,0.2828,0.9722,14,0.378,"RA:AG19,AG20,AG26,A1,A2,A4|SI:BG2,BG4,BG7,B2,B3,B4|CX:CG3,C1,C4,C5|TOP:TG2,TG7,TG13,TG14,TG16,T2,T4,T5,T6,T8"
76,15,5,4,3,3,0.6527,0.001,0.3946,0.0033,0.2481,0.964,9,0.29,"RA:AG3,AG24,A1,A2,A4|SI:BG2,BG4,B1,B4|CX:CG2,C4,C5|TOP:TG13,T2,T5"
72,18,7,5,2,4,0.6384,0.0009,0.3788,0.0033,0.2358,0.9622,10,0.303,"RA:AG3,AG14,AG19,AG26,A1,A2,A4|SI:BG2,BG4,B1,B2,B4|CX:C4,C5|TOP:TG13,TG20,T4,T5"
61,17,3,4,3,7,0.6278,0.0008,0.3551,0.0028,0.2176,0.9648,9,0.273,"RA:AG22,A2,A3|SI:BG2,BG4,BG7,B3|CX:C1,C4,C5|TOP:TG2,TG6,TG13,TG16,T2,T4,T5"
38,14,4,2,2,6,0.7255,0.0039,0.2971,0.003,0.176,0.9534,9,0.3,"RA:AG5,AG19,A1,A2|SI:BG2,B3|CX:C3,C5|TOP:TG11,TG14,T2,T5,T6,T7"
68,14,5,3,1,5,0.6085,0.002,0.2402,0.0029,0.1376,0.9431,9,0.3,"RA:AG5,AG19,A1,A2,A4|SI:BG2,BG7,B3|CX:C5|TOP:TG14,T2,T5,T6,T7"
57,15,6,3,2,4,0.6054,0.0005,0.0337,0.0026,0.0173,0.7008,8,0.25,"RA:AG1,AG15,AG24,A1,A2,A4|SI:BG2,BG4,BG7|CX:C4,C5|TOP:TG13,T2,T5,T8"
58,19,9,3,2,5,0.6183,0.0005,0.0325,0.0026,0.0166,0.6916,9,0.257,"RA:AG1,AG8,AG15,AG20,AG22,AG24,A2,A3,A4|SI:BG2,BG4,BG7|CX:C4,C5|TOP:TG13,T2,T4,T5,T8"
41,12,3,3,1,5,0.5498,0.0018,0.0134,0.0028,0.0068,0.4615,8,0.276,"RA:AG19,A2,A3|SI:BG2,B1,B2|CX:C5|TOP:TG3,TG13,T2,T4,T5"
78,12,4,3,1,4,0.5498,0.0018,0.0134,0.0028,0.0068,0.4615,8,0.276,"RA:AG10,AG19,A2,A4|SI:BG2,B1,B2|CX:C5|TOP:TG8,T4,T5,T7"
52,14,2,1,5,6,0.5361,0.0018,0.0134,0.0028,0.0068,0.4615,9,0.3,"RA:A2,A3|SI:BG2|CX:CG1,CG3,C3,C4,C5|TOP:TG6,TG13,T1,T2,T4,T5"
7,20,9,4,3,4,0.5879,0.0002,0.0123,0.0026,0.0062,0.4583,9,0.25,"RA:AG1,AG3,AG5,AG15,AG19,AG24,A1,A2,A4|SI:BG2,BG4,BG7,B1|CX:CG2,C4,C5|TOP:TG13,T2,T5,T8"
50,14,4,4,0,6,0.5242,0.0008,0.0074,0.0027,0.0038,0.3274,6,0.182,"RA:AG19,AG25,A2,A4|SI:BG2,BG4,BG7,B3|CX:|TOP:TG2,TG13,TG14,T2,T4,T6"
32,13,4,4,1,4,0.5122,0.0008,0.0036,0.0028,0.0018,0.1862,9,0.31,"RA:AG15,AG16,A2,A4|SI:BG2,B1,B2,B3|CX:C5|TOP:TG1,T4,T5,T8"
69,12,1,3,3,5,0.4961,0.0003,0.0026,0.0027,0.0013,0.1453,7,0.233,"RA:A2|SI:BG2,BG4,B1|CX:C1,C3,C5|TOP:TG2,TG3,TG13,T2,T4"
4,13,4,1,2,6,0.4813,0.0001,0.0025,0.0025,0.0012,0.15,8,0.267,"RA:AG15,A1,A2,A4|SI:BG2|CX:C4,C5|TOP:TG6,TG13,TG14,T2,T4,T5"
6,17,6,4,2,5,0.3937,0.0,0.0021,0.0024,0.0011,0.1382,9,0.273,"RA:AG15,AG22,AG24,A1,A2,A3|SI:BG2,BG4,BG7,B4|CX:C4,C5|TOP:TG6,TG13,T2,T4,T5"
8,21,8,4,4,5,0.4027,0.0,0.0021,0.0024,0.0011,0.1382,10,0.278,"RA:AG3,AG13,AG15,AG18,AG24,A1,A2,A3|SI:BG2,BG4,BG7,B4|CX:CG3,C2,C4,C5|TOP:TG6,TG13,T2,T4,T5"
