base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
32,20,6,3,2,9,0.882,0.0047,0.8825,0.0046,0.8029,0.9796,9,0.25,"RA:AG1,AG6,AG16,AG19,A1,A2|SI:BG2,BG6,B3|CX:C4,C5|TOP:TG2,TG3,TG9,TG12,TG15,T2,T3,T4,T8"
89,19,7,2,2,8,0.8805,0.0042,0.8813,0.0044,0.8004,0.9804,11,0.333,"RA:AG3,AG6,AG19,AG20,A1,A2,A6|SI:BG6,B3|CX:C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5,T6"
96,13,4,4,2,3,0.8772,0.0174,0.8795,0.0178,0.8358,0.928,7,0.226,"RA:AG1,AG9,AG19,A5|SI:BG2,BG6,B1,B3|CX:C4,C5|TOP:TG9,T4,T5"
100,14,4,3,2,5,0.8757,0.0172,0.8776,0.0177,0.8323,0.9282,7,0.219,"RA:AG1,AG5,AG18,A5|SI:BG2,BG6,B3|CX:C4,C5|TOP:TG3,TG9,T4,T5,T8"
65,15,4,2,3,6,0.8724,0.0164,0.8734,0.0159,0.8203,0.9338,7,0.212,"RA:AG1,AG19,A1,A2|SI:BG6,B3|CX:CG3,CG4,C5|TOP:TG3,TG4,TG9,T2,T3,T5"
102,15,5,2,2,6,0.8702,0.0049,0.8718,0.0049,0.7865,0.9778,7,0.212,"RA:AG1,AG19,AG28,A1,A2|SI:BG6,B3|CX:CG4,C5|TOP:TG3,TG4,TG9,T2,T3,T5"
34,19,8,2,3,6,0.8716,0.0036,0.8718,0.0034,0.7824,0.9842,9,0.257,"RA:AG1,AG6,AG16,AG19,AG24,A1,A2,A5|SI:BG6,B3|CX:CG1,C4,C5|TOP:TG3,TG4,TG9,T2,T3,T5"
59,15,5,4,1,5,0.8725,0.017,0.8716,0.0162,0.8179,0.9328,8,0.25,"RA:AG9,AG20,AG24,A3,A5|SI:BG2,BG7,B1,B3|CX:C5|TOP:TG9,TG15,T4,T5,T7"
44,14,5,5,2,2,0.8672,0.0159,0.8667,0.015,0.8066,0.9365,8,0.258,"RA:AG1,AG6,AG9,A3,A5|SI:BG2,BG6,BG7,B1,B3|CX:C3,C5|TOP:T4,T5"
5,13,3,2,2,6,0.8578,0.0128,0.8631,0.0128,0.7944,0.9447,7,0.226,"RA:AG27,A1,A2|SI:BG6,B3|CX:CG3,C5|TOP:TG4,TG9,TG24,T2,T4,T5"
72,16,5,2,2,7,0.8591,0.0043,0.8603,0.0041,0.7663,0.9807,9,0.281,"RA:AG1,AG16,AG19,A1,A2|SI:BG2,B3|CX:C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5"
28,28,12,3,2,11,0.8561,0.0035,0.8579,0.0034,0.7605,0.984,12,0.293,"RA:AG1,AG11,AG16,AG19,AG20,AG21,AG23,AG25,AG29,A1,A2,A6|SI:BG2,B1,B3|CX:CG2,C5|TOP:TG2,TG3,TG9,TG15,TG16,T2,T3,T4,T5,T6,T7"
29,27,9,4,2,12,0.8527,0.0035,0.8555,0.0033,0.7565,0.9845,12,0.3,"RA:AG1,AG6,AG9,AG10,AG16,AG19,A1,A2,A5|SI:BG2,BG6,B3,B4|CX:C4,C5|TOP:TG1,TG2,TG3,TG4,TG9,TG12,TG15,T2,T3,T4,T5,T6"
