base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
128,16,0.7917,0.0006,0.7931,0.0007,0.6588,0.9961,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G179(enum); G197(enum); G235(enum); G252(enum); G315(enum); G358(enum); G420(enum); G508(enum); G516(enum); G519(enum); G564(enum); G642(enum)
144,15,0.7917,0.0007,0.7925,0.0008,0.6581,0.9958,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G128(enum); G140(enum); G197(enum); G252(enum); G254(enum); G265(enum); G275(enum); G516(enum); G519(enum); G522(enum); G564(enum); G653(enum)
75,13,0.7886,0.0009,0.7877,0.0008,0.6516,0.9957,0,0.0,0.0,G1(enum); G116(enum); G128(enum); G140(enum); G252(enum); G265(enum); G336(enum); G495(enum); G516(enum); G519(enum); G584(enum); G651(enum); G685(enum)
87,14,0.7852,0.0006,0.7856,0.0006,0.6483,0.9964,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G128(enum); G140(enum); G252(enum); G275(enum); G358(enum); G420(enum); G426(enum); G516(enum); G519(enum); G564(enum); G642(enum)
84,13,0.7833,0.0007,0.7835,0.0006,0.6456,0.9964,0,0.0,0.0,G1(enum); G106(enum); G116(enum); G145(enum); G217(enum); G252(enum); G287(enum); G333(enum); G508(enum); G509(enum); G516(enum); G545(enum); G642(enum)
65,12,0.7799,0.0008,0.7789,0.0007,0.6396,0.9958,0,0.0,0.0,G1(enum); G116(enum); G140(enum); G252(enum); G265(enum); G336(enum); G495(enum); G516(enum); G519(enum); G584(enum); G651(enum); G685(enum)
81,18,0.7753,0.0006,0.7756,0.0007,0.6351,0.9961,0,0.0,0.0,G1(enum); G43(enum); G140(enum); G197(enum); G217(enum); G252(enum); G265(enum); G296(enum); G336(enum); G367(enum); G420(enum); G495(enum); G509(enum); G516(enum); G519(enum); G651(enum); G652(enum); G664(enum)
123,14,0.7737,0.0005,0.7751,0.0005,0.634,0.9969,0,0.0,0.0,G1(enum); G116(enum); G140(enum); G212(enum); G252(enum); G333(enum); G336(enum); G358(enum); G473(enum); G509(enum); G516(enum); G545(enum); G572(enum); G610(enum)
72,12,0.7724,0.0006,0.7714,0.0005,0.6292,0.9968,0,0.0,0.0,G1(enum); G116(enum); G128(enum); G140(enum); G252(enum); G254(enum); G265(enum); G275(enum); G336(enum); G516(enum); G519(enum); G584(enum)
60,19,0.7661,0.0004,0.7642,0.0005,0.6196,0.9968,0,0.0,0.0,G1(enum); G140(enum); G197(enum); G212(enum); G231(enum); G252(enum); G296(enum); G322(enum); G358(enum); G372(enum); G435(enum); G447(enum); G509(enum); G516(enum); G531(enum); G630(enum); G642(enum); G651(enum); G676(enum)
107,13,0.7636,0.0005,0.7639,0.0006,0.6194,0.9965,0,0.0,0.0,G1(enum); G40(enum); G94(enum); G116(enum); G140(enum); G252(enum); G358(enum); G420(enum); G516(enum); G519(enum); G564(enum); G630(enum); G642(enum)
124,16,0.7626,0.0004,0.761,0.0007,0.6158,0.9961,1,0.03,0.056,G1(enum); G114(enum); G121(enum); G140(enum); G197(enum); G252(enum); G296(enum); G322(enum); G372(enum); G397(enum); G516(enum); G519(enum); G630(enum); G642(enum); G651(enum); R5
121,12,0.7602,0.0004,0.7607,0.0005,0.615,0.9968,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G252(enum); G358(enum); G420(enum); G516(enum); G519(enum); G564(enum); G630(enum); G642(enum)
94,18,0.7581,0.0003,0.7572,0.0004,0.6101,0.9977,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G267(enum); G296(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G516(enum); G519(enum); G522(enum); G651(enum); G653(enum)
108,14,0.7544,0.0004,0.7546,0.0003,0.6067,0.998,1,0.032,0.056,G1(enum); G121(enum); G140(enum); G197(enum); G252(enum); G296(enum); G322(enum); G372(enum); G397(enum); G420(enum); G435(enum); G516(enum); G642(enum); R17
117,19,0.7549,0.0003,0.7536,0.0004,0.6055,0.9977,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G307(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G477(enum); G516(enum); G522(enum); G649(enum); G651(enum); G653(enum)
68,19,0.7512,0.0002,0.7497,0.0003,0.6002,0.9981,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G372(enum); G384(enum); G447(enum); G513(enum); G516(enum); G519(enum); G522(enum); G531(enum); G630(enum); G642(enum); G651(enum)
88,17,0.747,0.0003,0.7446,0.0004,0.5939,0.9977,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G267(enum); G296(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G516(enum); G522(enum); G651(enum); G653(enum)
77,16,0.7435,0.0002,0.7434,0.0003,0.5922,0.9982,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G311(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G516(enum); G522(enum); G653(enum)
134,17,0.745,0.0003,0.7423,0.0004,0.5911,0.9976,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G267(enum); G296(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G478(wm); G516(enum); G522(enum); G653(enum)
42,17,0.7381,0.0001,0.7365,0.0003,0.5835,0.9984,1,0.029,0.056,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G516(enum); G522(enum); G651(enum); G653(enum); R12
